pzn;categories;enabled;family;parent;groups;X_SELL-groups;X_SELL-products;X_SELL-product_models;UPSELL-groups;UPSELL-products;UPSELL-product_models;SUBSTITUTION-groups;SUBSTITUTION-products;SUBSTITUTION-product_models;PACK-groups;PACK-products;PACK-product_models;setzugehoerigkeit-groups;setzugehoerigkeit-products;setzugehoerigkeit-product_models;ean_gtin
09427496;all_articles,elmex0zahnpasten,mund0und0zaehne0zahnpflegeprodukte0zahnpasta0fluorid,themenwelt0bitte0laecheln0zaehneputzen;1;abda_artikel;;;;;;;;;;;;;;;;;;08718951032644
09687820;adventskalender,all_articles,tees;1;abda_artikel;;;;;;;;;;;;;;;;;;04012824401129
15865680;all_articles,chmerzen0und0verletzungen0kaelte0und0waermetherapie0kaeltetherapie0kuehlgel,schmerzen0und0verletzungen0zum0einreiben0schmerzgel0kuehlendes,sport0sportverletzungen0sportgel;1;abda_artikel;;;;;;;;;;;;;;;;;;09002757015079
16486594;all_articles,gesichtspflege0dekorative0kosmetik0makeup0puder;1;abda_artikel;;;;;;;;;;;;;;;;;;04011061224126
03025259;all_articles,gesichtspflege0gesichtspflege0hauttyp0empfindliche0haut,gesichtspflege0gesichtspflege0hauttyp0trockene0haut,gesichtspflege0tagescreme0weitere;1;abda_artikel;;;;;;;;;;;;;;;;;;04016369294161
04620320;all_articles,baby0und0kind0baby0babynahrung0milchpulver0fuer0babys,kind0und0familie0baby0und0kind0baby0babynahrung0milchpulver0box;1;abda_artikel;;;;;;;;;;;;;;;;;;04056631001202
05909229;all_articles,aromatherapie,primavera0aetherische0oele;1;abda_artikel;;;;;;;;;;;;;;;;;;04086900111356
14337967;all_articles,kind0und0familie0frauengesundheit0damenhygiene0binden;1;abda_artikel;;;;;;;;;;;;;;;;;;08432984001643
11852545;all_articles,hunde0haut0fell;1;abda_artikel;;;;;;;;;;;;;;;;;;04019181250667
16800642;all_articles,amazon0pay0blacklist,gesichtspflege0tagescreme0hyaluron,wellness0cbd0creme0gesichtspflege0augencreme;1;abda_artikel;;;;;;;;;;;;;;;;;;04260667930256
13228696;all_articles,erkaeltung0husten0hustenbonbons0pulmoll;1;abda_artikel;;;;;;;;;;;;;;;;;;04002590706757
12416361;all_articles,schmerzen0und0verletzungen0zum0einreiben0schmerzsalbe0pferdesalbe;1;abda_artikel;3348463700;3348463700;;;;;;;;;;;;;;;;04033082030197
07180873;all_articles,blasenschwaeche,nieren0und0blase0blasenschwaeche0einlagen,pflegebedarf0inkontinenzprodukte0inkontinenzeinlagen0frauen;1;abda_artikel;;;;;;;;;;;;;;;;;;07332152204665
09913021;all_articles,duschen0baden;1;abda_artikel;;;;;;;;;;;;;;;;;;04052527000113
15747911;all_articles,katastrophenfall;1;abda_artikel;;;;;;;;;;;;;;;;;;04260538090096
07568844;all_articles,duschen0baden;1;abda_artikel;;;;;;;;;;;;;;;;;;04104610010711
14226009;all_articles,seo0ricola0hustenbonbons;1;abda_artikel;;;;;;;;;;;;;;;;;;07610700923214
09687599;adventskalender,all_articles,tees;1;abda_artikel;;;;;;;;;;;;;;;;;;04012824400269
00633780;all_articles,verbandsmaterial0binden0fixierbinde0elastische;1;abda_artikel;;;;;;;;;;;;;;;;;;04042809029437
14301202;all_articles,mund0und0zaehne0mundpflegeprodukte0mundspuelloesung0mundspuelung0listerine;1;abda_artikel;3344682100;;;;;;;;;;;;;;;;;03574661401751
16128305;all_articles,diabetes0zubehoer;1;abda_artikel;;;;;;;;;;;;;;;;;;07613117027162
14216028;all_articles,diabetes0und0ernaehrung0traubenzucker0dextro0energy;1;abda_artikel;;;;;;;;;;;;;;;;;;00000042233879
07752720;all_articles,original0bachblueten0sets;1;abda_artikel;;;;;;;;;;;;;;;;;;04008890360002
16756289;all_articles,amazon0pay0blacklist,gratis0zugaben0sets,wellness0cbd0mundoel;1;abda_artikel;;;;;;;;;;;;;;;;;;00737669028112
03463172;all_articles,massage0gleitmittel0co,vegane0pflege;1;abda_artikel;;;;;;;;;;;;;;;;;;04028403110047
01416091;all_articles,diabetes0hautpflege0fusscreme;1;abda_artikel;;;;;;;;;;;;;;;;;;04019847001169
07365822;all_articles,oberarmgeraete;1;abda_artikel;;;;;;;;;;;;;;;;;;04002427014840
02172538;all_articles,mund0und0zaehne0zahnprothesenpflege0prothesenreinigung;1;abda_artikel;;;;;;;;;;;;;;;;;;04250107600252
13898824;all_articles,verbandsmaterial0pflaster0pflasterstrips;1;abda_artikel;;;;;;;;;;;;;;;;;;04001895926495
14370143;all_articles,duschen0baden;1;abda_artikel;;;;;;;;;;;;;;;;;;04105170620471
15238173;all_articles,gesichtspflege0lippenpflege0lippenbalsam;1;abda_artikel;;;;;;;;;;;;;;;;;;05704947005856
14333426;all_articles,gesichtspflege0gesichtsreinigung0gesichtswasser0gesichtstoner;1;abda_artikel;;;;;;;;;;;;;;;;;;04005529300408
05521904;all_articles,magnesium;1;abda_artikel;;;;;;;;;;;;;;;;;;04260204740744
11540627;all_articles,mund0und0zaehne0zahnplegeprodukte0colgate0zahnbuerste;1;abda_artikel;;;;;;;;;;;;;;;;;;08718951056039
12420380;all_articles,schmerzen0und0verletzungen0kaelte0und0waermetherapie0waermetherapie0waermflasche0lang,schmerzen0und0verletzungen0kaelte0und0waermetherapie0waermetherapie0waermflasche0mit0bezug,schmerzen0und0verletzungen0kaelte0und0waermetherapie0waermetherapie0waermflasche0saenger;1;abda_artikel;;;;;;;;;;;;;;;;;;04012677165933
12907828;all_articles,hygienebedarf0untersuchungshandschuhe0nitril0handschuhe0weiss;1;abda_artikel;;;;;;;;;;;;;;;;;;04046955092109
13902715;all_articles,schmerzen0und0verletzungen0kaelte0und0waermetherapie0kalt0warm0kompressen;1;abda_artikel;;;;;;;;;;;;;;;;;;05902658066191
13901638;all_articles,seife0fluessigseife,sterillium0auf0reisen,sterillium0durchfall,sterillium0grippe,sterillium0haendereinigung;1;abda_artikel;;;;;;;;;;;;;;;;;;04031678073856
09340080;all_articles,katastrophenfall;1;abda_artikel;;;;;;;;;;;;;;;;;;04022167407108
11592771;all_articles,kind0und0familie0familienplanung0schwangerschaft0umstandsmode0still0bh,sprechstundenbedarf0berufe0hebamme0medela;1;abda_artikel;;;;;;;;;;;;;;;;;;07612367053273
15238144;all_articles,handcreme0rissige0haende;1;abda_artikel;;;;;;;;;;;;;;;;;;05704947005368
04143564;all_articles,massage0gleitmittel0co;1;abda_artikel;;;;;;;;;;;;;;;;;;00827160100346
00738728;all_articles,nahrungsergaenzung0aus0der0natur;1;abda_artikel;;;;;;;;;;;;;;;;;;04035691100070
06550090;all_articles,duschen0baden,kind0und0familie0baby0und0kind0baby0babypflege0creme,kind0und0familie0baby0und0kind0speziell0fuer0kinder;1;abda_artikel;;;;;;;;;;;;;;;;;;03574660540956
16146349;all_articles,kind0und0familie0baby0und0kind0speziell0fuer0kinder;1;abda_artikel;;;;;;;;;;;;;;;;;;07613038214184
00359988;all_articles,vichy0haarpflege0und0haarausfall;1;abda_artikel;3350784700;;;;;;;;;;;;;;;;;03337871323394
05522252;all_articles,potenzstoerungen0sexuelle0unlust;1;abda_artikel;;;;;;;;;;;;;;;;;;04260204740973
